Area Alias,Email,Twitter,Nostr
breizh-bitcoin,contact@breizhbitcoin.bzh,@BreizhBitcoin,
european-bitcoiners,,@EuropeanBTC21,
african-bitcoiners,afriqualia@gmail.com,@afribitcoiners,
bitcoin-bulgaria,,,
pontevedra-_2140_,citadeltimes.0z9r6@aleeas.com,,
malaga-2140,malaga2140@proton.me,,
taiwan-bitdevs,bitdevstw@gmail.com,@TaiwanBitdevs,
armentieres,,,
dole,,,
Cannes,,,
dvacet-jedna-praha,,,npub1lz8xv2dnyryrk4vswkcgf52vqqzruqwuyp53s7pvusx4fef9fh2s7hh86s
lille,,,
saint-malo,,@stMaloBTCMeetup,
bitcoin_berlin,,@bitcoinberlinsv,
le-salon-bitcoin-du-roy,,@VersaillesBTC,
2140-bilbo,aketzaaa@msn.com,,
32-einezwaenzg-seeland,,,
abidjan-bitcoin,AbidjanBTCMeet@proton.me,@AbidjanBTC,
aix-en-provence,,@AixBitcoin21,
albany-bitcoin-group,abhishandy@pm.me,,
alicante-bitcoin-plebs,Frolic5517@tutanota.com,,
amiens,,@BitcoinAmiens,
angers,,@AngersBitcoin,
ann-arbor-bitcoin,bitki@lavabit.com,,
annecy,,@AnnecyBitcoin,
asturias-2140,cachopocoin@proton.me,,
aurillac,,,
auxerre,,,
avignon,,@BitcoinVaucluse,
bamako,papa30331@gmail.com,,
bangkok,,,
barcelona-bitcoin-only,hola@bitcoinbarcelona.xyz,@BcnBitcoinOnly,npub10nlyn8wm0da6wqgawnl0qvjx6thyy00mvlpm0aetkx5nf7kw9xdsgz26e8
benin,Bitcoinbenin@gmail.com,@BitcoinBenin,
berlin-2140,berlin2140@ph.dedyn.io,,
besancon,,,
biarritz,,,
bit-campina,,@bitcampina,
bitcoin-2140-a-coruna,sirope@protonmail.com,,
bitcoin-alps,verein@bitcoin-alps.ch,@bitcoin_alps,npub1ur0jtnmrm67zr4xka8hhfluj0uk40l3gwhwzfzfy8nuem29ffg7qgszmps
bitcoin-and-cards,,@BTCandCards,
bitcoin-andorra,bitcoinandorra@thibm.net,@BitcoinAndorra,
bitcoin-beach-dominican,,,
bitcoin-beach-yucatan,bitcoinbeachyucatan@gmail.com,@bitcoinyucatan,npub1w2my0n7rklzdgw7anjdnssq8mjzkpr54apqeg3pk9qjauu9dt26smyydvm
bitcoin-birr,,@BitcoinBirr,
bitcoin-brunch-nh,needcreations@gmail.com,@NEEDcreations,npub19py4fxzwrxlkyxc6s458sp5fp5hz0hwsumzcc98yr60q5umz4n8qfxz9sn
bitcoin-cadiz,neocrypto@outlook.es,,
bitcoin-ciudadela,jordan@pwnylabs.com,@CiudadelaBTC,
bitcoin-club-malta,,@bitcoinclubmt,
bitcoin-cordoba,antoniosera86@gmail.com,,
bitcoin-corsica,sarcasm88@protonmail.com,,
bitcoin-derby,,@BTCDerby,
bitcoin-dua,bitcoindua67@gmail.com,@bitcoin_dua,
bitcoin-figueres,cobraenbitcoin@gmail.com,,
bitcoin-hideaway,info@bitcoinhideaway.com,@BitcoinHideaway,npub1mxt2eefsc9hy6s7yrxhzk8s0q836vgz8pcs6qdr6q40ngrhpel0s9n5nsy
bitcoin-ibiza,libertad2cero@libertad2cero.com,,
